Genes,M-Expression,S-Expression,G-Expression
Dgkb,1,0,0
Apobr,1,1,1
Cd83,0,0,1
2610035D17Rik,0,0,1
Slc39a11,0,1,1
Gngt2,1,1,1
Serpini1,1,0,0
Has1,1,1,1
Srsf1,1,1,1
Mrpl24,1,1,1
Tspyl4,0,0,0
Zmynd11,0,0,0
Pabpc1,1,1,1
Golm2,0,0,0
Ccdc186,1,0,0
Fgf13,0,0,0
Tub,0,0,0
Eef1g,1,1,1
Inpp5a,1,0,0
Eif5b,1,1,1
Fubp1,1,1,1
Phf2,0,0,0
Gpaa1,0,1,1
Ston1,1,0,0
Mid2,0,0,0
Gng7,0,0,0
Gabarapl1,0,0,0
Eif3g,1,1,1
Rcc1,1,1,1
Timm10,1,1,1
Rpl27,1,1,1
Gm19951,1,1,1
Trim33,0,0,0
Mboat2,1,0,0
Flrt1,1,0,0
Adgra1,0,0,0
Gxylt2,0,0,0
Ap3m2,0,0,0
Ptpru,1,0,0
Pole2,0,1,1
Wipf3,1,0,0
Nat10,1,1,1
Gjb6,1,0,0
Ppih,0,1,1
Pmvk,0,1,0
Enah,1,0,0
Lilrb4a,1,1,1
Plbd1,1,1,1
Penk,0,0,0
Wdr77,1,1,1
Gpam,0,0,0
Sap30,1,1,1
Aff4,1,0,0
Exosc5,0,1,1
Rdh10,1,1,1
Kat2a,0,1,1
Cad,0,1,1
Cyb5a,0,1,0
Babam2,1,1,1
Zfp871,0,0,0
Sytl2,0,0,1
Fkbp11,1,1,1
Ifi206,1,1,1
Frmd6,0,0,0
Ptpn11,1,0,0
Htra2,0,1,1
Rpl6,1,1,1
Usp32,0,0,0
Slc30a10,1,0,0
Rin2,1,0,0
Tox3,0,0,0
Chd6,0,0,0
Atg14,0,0,0
Psat1,1,1,1
Prickle2,1,0,0
Nudt5,0,1,1
Nfam1,1,1,1
Fez2,1,1,0
Dennd4c,0,0,0
Ahcyl2,0,0,0
Syngr2,1,1,1
Pik3ip1,0,0,0
Cd244a,1,1,1
Dera,0,1,1
Il7r,1,1,1
Ifrd2,1,1,1
Gm75391,0,0,0
Pcnx1,0,0,0
Rps20,1,1,1
Zyg11b,0,0,0
Gdf10,0,0,0
Ncln,1,1,1
Nap1l3,0,0,0
Crybg3,0,0,0
H2bc21,0,0,0
Ccdc85a,0,0,0
Ssr4,1,1,1
Snx13,0,0,0
Rtcb,1,1,1
Nckap1l,1,1,1
Ppid,1,1,1
Usp11,1,0,0
Sgms1,0,0,0
Emg1,1,1,1
Ctso,0,0,0
Itpr1,1,0,0
Thsd7a,0,0,0
Cyfip2,1,0,0
Rpl12,1,1,1
Rab44,1,1,1
Wdfy3,0,0,0
Tspan3,0,0,0
Lsm12,1,1,1
Kcnk1,1,0,0
Gprc5b,1,0,0
Rasgef1b,1,0,0
Rora,0,0,0
Adpgk,1,1,1
Fbln7,1,0,0
Pals1,1,0,0
Pwp1,1,1,1
Daam2,1,0,0
Brinp2,1,0,0
Tyrobp,1,1,1
Mapk12,0,1,1
Zscan26,0,0,0
Mecp2,1,0,0
Pilrb2,1,1,1
Zfhx4,1,0,0
Myo1f,1,1,1
Lamb1,0,1,1
Ids,0,0,0
Hdac11,1,0,0
Tmem106b,0,0,0
4933431E20Rik,0,0,0
Gpr165,0,0,0
Herc1,0,0,0
Arhgdib,0,1,1
Agt,1,0,0
Uck2,1,1,1
Phactr3,1,0,0
Armh4,1,0,0
Rps13,1,1,1
Gm56971,1,0,0
Id4,0,0,0
Kcnj10,1,0,0
Tcp11l2,0,0,0
Pa2g4,1,1,1
Magee1,0,0,0
Slc6a20a,1,0,0
Sptb,1,0,0
Clec7a,0,1,1
Eng,0,1,0
Havcr2,1,1,1
Kcnk2,1,0,0
Akap6,1,0,0
Zer1,0,0,0
Mcts1,0,1,1
